#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 03 19 12 50  68  2.1  3.9  0.01 99.00  8.50 999 1027.2  -1.4 999.0 999.0 99.0 99.00
2016 03 19 13 50  80  2.5  4.4  0.02 99.00 10.14 999 1027.4  -0.9 999.0 999.0 99.0 99.00
2016 03 19 14 50  85  1.7  4.2  0.02 99.00  9.26 999 1027.6  -0.4 999.0 999.0 99.0 99.00
2016 03 19 15 50  77  2.1  4.3  0.01 99.00  7.38 999 1027.8  -0.1 999.0 999.0 99.0 99.00
2016 03 19 16 50  73  2.4  4.5  0.02 99.00  9.44 999 1028.0   0.5  -0.1 999.0 99.0 99.00
2016 03 19 17 50  54  2.4  4.9  0.01 99.00  6.63 999 1028.1   1.1   0.1 999.0 99.0 99.00
2016 03 19 18 50  49  2.5  5.8  0.01 99.00  7.95 999 1028.1   1.5   0.2 999.0 99.0 99.00
2016 03 19 19 50  48  3.0  4.8 99.00 99.00 99.00 999 1027.9   1.2   0.3 999.0 99.0 99.00
2016 03 19 20 50  54  2.5  4.8  0.01 99.00  8.38 999 1027.7   1.2   0.2 999.0 99.0 99.00
2016 03 19 21 50  61  1.8  4.5 99.00 99.00 99.00 999 1027.5   1.2   0.3 999.0 99.0 99.00
2016 03 19 22 50  61  1.4  2.8  0.01 99.00  7.64 999 1027.8   0.4   0.3 999.0 99.0 99.00
2016 03 19 23 50  68  0.9  2.2 99.00 99.00 99.00 999 1028.0   0.1   0.2 999.0 99.0 99.00
2016 03 20 00 50  64  0.7  1.7  0.02 99.00  9.26 999 1028.0   0.0   0.1 999.0 99.0 99.00
2016 03 20 01 50  40  0.5  1.0  0.01 99.00  8.62 999 1028.1  -0.2  -0.1 999.0 99.0 99.00
2016 03 20 02 50 174  0.1  0.6  0.01 99.00  9.33 999 1027.9  -0.7  -0.2 999.0 99.0 99.00
2016 03 20 03 50 254  0.8  1.1  0.01 99.00  8.85 999 1027.7  -1.1  -0.4 999.0 99.0 99.00
2016 03 20 04 50 212  0.8  1.7  0.01 99.00  6.24 999 1027.4  -2.1 999.0 999.0 99.0 99.00
2016 03 20 05 50 245  1.0  1.9  0.01 99.00  7.06 999 1027.0  -1.8 999.0 999.0 99.0 99.00
